job_link,job_title,comp_name,location,expire_date,update_date,industry,staff_type,salary,exp,job_level,Phương thức làm việc
https://careerbuilder.vn/vi/tim-viec-lam/truong-phong-chung-tu-xuat-nhap-khau.35BD4E9F.html,Trưởng phòng Chứng từ Xuất nhập khẩu,CÔNG TY TNHH GIAO NHẬN THƯƠNG MẠI RỒNG Á CHÂU,Bình Dương,Cơ hội ứng tuyển chỉ còn: 5 ngày,['09-09-2023'],"Vận chuyển / Giao nhận /Kho vận, Quản lý điều hành, Xuất nhập khẩu",Nhân viên chính thức,15 Tr - 25 Tr VND,5 - 10 Năm,Quản lý,nan
https://careerbuilder.vn/vi/tim-viec-lam/hot-hot-nhan-vien-kinh-doanh-phan-mem-va-san-tmdt-alibaba-thu-nhap-tu-10-20tr.35BD8B90.html,[HOT HOT] NHÂN VIÊN KINH DOANH PHẦN MỀM VÀ SÀN TMĐT Alibaba - THU NHẬP TỪ 10-20TR,Ms Huong,"Hồ Chí Minh, Hà Nội, Đà Nẵng",Cơ hội ứng tuyển chỉ còn: 5 ngày,['09-09-2023'],"Bán hàng / Kinh doanh, Tư vấn, Xuất nhập khẩu",Nhân viên chính thức,10 Tr - 35 Tr VND,1 - 2 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-mua-hang.35BD8BAA.html,Nhân viên mua hàng,CÔNG TY TNHH ĐIỆN LẠNH HOÀ PHÁT,Hà Nội,Cơ hội ứng tuyển chỉ còn: 5 ngày,['09-09-2023'],"Xuất nhập khẩu, Thu mua / Vật tư","Nhân viên chính thức, Thời vụ/ Nghề tự do",12 Tr - 15 Tr VND,nan,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/international-sale-specialist-japanese-speaking-1000-1500.35BD8B77.html,International Sale Specialist  - Japanese  Speaking (1000$ - 1500$),Tập đoàn Stavian (Stavian Group),Hà Nội,Cơ hội ứng tuyển chỉ còn: 5 ngày,['09-09-2023'],"Xuất nhập khẩu, Thu mua / Vật tư, Bán hàng / Kinh doanh",Nhân viên chính thức,"1,000 - 1,500 USD",Trên2 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/giam-doc-xuat-nhap-khau.35BDBFFA.html,Giám Đốc Xuất Nhập Khẩu,Công Ty CP Công Nghiệp Kim Bình,Hồ Chí Minh,Cơ hội ứng tuyển chỉ còn: 4 ngày,['09-09-2023'],nan,nan,nan,nan,nan,nan
https://careerbuilder.vn/vi/tim-viec-lam/customer-service-sales-support-logistics.35BDC077.html,Customer Service/ Sales Support (Logistics),Headhunter HRchannels Group,"Bình Dương, Đồng Nai, Hồ Chí Minh",Cơ hội ứng tuyển chỉ còn: 4 ngày,['08-09-2023'],"Bán hàng / Kinh doanh, Vận chuyển / Giao nhận /Kho vận, Xuất nhập khẩu",Nhân viên chính thức,12 Tr - 20 Tr VND,1 - 4 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/procurement-admin.35BDBFD4.html,Procurement Admin,"UNIEXPORT CO., LTD",Hồ Chí Minh,Cơ hội ứng tuyển chỉ còn: 4 ngày,['08-09-2023'],"Xuất nhập khẩu, Sản xuất / Vận hành sản xuất, Thu mua / Vật tư",Nhân viên chính thức,Cạnh tranh,1 - 3 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/import-export-executive.35BD89CB.html,Import Export Executive,CÔNG TY TNHH DECHANG VIỆT NAM,Đồng Nai,Cơ hội ứng tuyển chỉ còn: 3 ngày,['08-09-2023'],"Bán hàng / Kinh doanh, Vận chuyển / Giao nhận /Kho vận, Xuất nhập khẩu",Nhân viên chính thức,Cạnh tranh,Trên2 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/tam-son-hn-chuyen-vien-xuat-nhap-khau.35BD8932.html,[TAM SƠN] HN - Chuyên Viên Xuất Nhập Khẩu,Openasia Group,Hà Nội,Cơ hội ứng tuyển chỉ còn: 4 ngày,['08-09-2023'],"Bán lẻ / Bán sỉ, Dệt may / Da giày / Thời trang, Xuất nhập khẩu",Nhân viên chính thức,12 Tr - 15 Tr VND,3 - 5 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/material-sourcing-admin-assistant.35BD8937.html,Material Sourcing Admin Assistant,ADVASTAR INC,Hồ Chí Minh,Cơ hội ứng tuyển chỉ còn: 4 ngày,['08-09-2023'],"Quản lý điều hành, Xuất nhập khẩu, Nội ngoại thất",Nhân viên chính thức,8 Tr - 10 Tr VND,1 - 2 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/tro-ly-giam-doc-phat-trien-san-pham.35BDBE9E.html,Trợ Lý Giám Đốc Phát Triển Sản Phẩm,Công Ty Cổ Phần IPP Group,Hồ Chí Minh,Cơ hội ứng tuyển chỉ còn: 3 ngày,['08-09-2023'],"Thực phẩm & Đồ uống, Hành chính / Thư ký, Xuất nhập khẩu",Nhân viên chính thức,17 Tr - 25 Tr VND,Trên2 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-xuat-nhap-khau-logistics.35BDBDDF.html,Nhân Viên Kinh Doanh Xuất Nhập Khẩu (Logistics),CÔNG TY TNHH KINGFISHER LOGISTICS,Hồ Chí Minh,Cơ hội ứng tuyển chỉ còn: 3 ngày,['07-09-2023'],"Bán hàng / Kinh doanh, Vận chuyển / Giao nhận /Kho vận, Xuất nhập khẩu",Nhân viên chính thức,12 Tr - 20 Tr VND,Trên1 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/export-executive.35BDBDA3.html,Export Executive,Công Ty Cổ Phần IPP Group,Hồ Chí Minh,,['07-09-2023'],"Xuất nhập khẩu, Thực phẩm & Đồ uống",Nhân viên chính thức,15 Tr - 30 Tr VND,2 - 3 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/tax-manager.35BD87F9.html,Tax Manager,Công ty TNHH Olam Việt Nam,Đồng Nai,Cơ hội ứng tuyển chỉ còn: 3 ngày,['07-09-2023'],"Bán hàng / Kinh doanh, Xuất nhập khẩu, Sản xuất / Vận hành sản xuất",Nhân viên chính thức,40 Tr - 50 Tr VND,5 - 10 Năm,Quản lý,nan
https://careerbuilder.vn/vi/tim-viec-lam/logistic-staff-data-entry.35BD8803.html,LOGISTIC STAFF (DATA ENTRY),Công ty TNHH Olam Việt Nam,Đồng Nai,Cơ hội ứng tuyển chỉ còn: 3 ngày,['07-09-2023'],"Vận chuyển / Giao nhận /Kho vận, Xuất nhập khẩu",Nhân viên chính thức,Cạnh tranh,Lên đến1Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-kinh-doanh-noi-dia-thep-nhom.35BD863E.html,"Chuyên viên kinh doanh nội địa (thép, nhôm)",Tập đoàn Stavian (Stavian Group),Hồ Chí Minh,Cơ hội ứng tuyển chỉ còn: 3 ngày,['07-09-2023'],"Xuất nhập khẩu, Sản xuất / Vận hành sản xuất, Bán hàng / Kinh doanh",Nhân viên chính thức,Cạnh tranh,2 - 5 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh-xuat-nhap-khau-logistics-thu-nhap-tu-15-trieu.35BD85D5.html,Nhân viên kinh doanh Xuất nhập khẩu / Logistics (thu nhập từ 15 triệu),CÔNG TY CỔ PHẦN XUẤT NHẬP KHẨU TRUNG QUỐC ĐẠI DƯƠNG,Hà Nội,Cơ hội ứng tuyển chỉ còn: 2 ngày,['07-09-2023'],"Bán hàng / Kinh doanh, Vận chuyển / Giao nhận /Kho vận, Xuất nhập khẩu",Nhân viên chính thức,Trên7 Tr VND,Trên1 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/dieu-phoi-hien-truong-giao-hang-du-an.35BD871A.html,Điều Phối Hiện Trường Giao Hàng Dự Án,Công Ty TNHH Tập Đoàn Rita Võ,Hồ Chí Minh,Cơ hội ứng tuyển chỉ còn: 3 ngày,['07-09-2023'],"Kế toán / Kiểm toán, Vận chuyển / Giao nhận /Kho vận, Xuất nhập khẩu",Nhân viên chính thức,8 Tr - 10 Tr VND,2 - 4 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/giang-vien-co-huu-nganh-logistic-va-quan-ly-chuoi-cung-ung.35BD8699.html,GIẢNG VIÊN CƠ HỮU NGÀNH LOGISTIC VÀ QUẢN LÝ CHUỖI CUNG ỨNG,TRƯỜNG ĐẠI HỌC KINH TẾ - TÀI CHÍNH TP.HCM,Hồ Chí Minh,Cơ hội ứng tuyển chỉ còn: 2 ngày,['07-09-2023'],"Giáo dục / Đào tạo, Xuất nhập khẩu, Ngành khác",Nhân viên chính thức,Cạnh tranh,Trên1 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/giang-vien-co-huu-nganh-kinh-doanh-quoc-te.35BD869E.html,GIẢNG VIÊN CƠ HỮU NGÀNH KINH DOANH QUỐC TẾ,TRƯỜNG ĐẠI HỌC KINH TẾ - TÀI CHÍNH TP.HCM,Hồ Chí Minh,Cơ hội ứng tuyển chỉ còn: 2 ngày,['07-09-2023'],"Bán hàng / Kinh doanh, Giáo dục / Đào tạo, Xuất nhập khẩu",Nhân viên chính thức,Cạnh tranh,Trên1 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-ky-thuat-co-khi.35BD7FF2.html,Nhân Viên Kỹ Thuật Cơ Khí,Công ty Cổ phần tập đoàn Đức Anh Global,Hà Nội,Cơ hội ứng tuyển chỉ còn: 3 ngày,['07-09-2023'],"Bán hàng / Kinh doanh, Xuất nhập khẩu, Sản xuất / Vận hành sản xuất",Nhân viên chính thức,10 Tr - 30 Tr VND,2 - 10 Năm,Nhân viên,nan
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-kinh-doanh-quoc-te-nhom.35BD8638.html,Chuyên viên kinh doanh Quốc tế (Nhôm),Tập đoàn Stavian (Stavian Group),Hà Nội,Cơ hội ứng tuyển chỉ còn: 2 ngày,['07-09-2023'],Xuất nhập khẩu,Nhân viên chính thức,Cạnh tranh,3 - 5 Năm,Nhân viên,nan
