job_link,job_title,comp_name,location,expire_date,update_date,industry,salary,staff_type,job_level,exp,Phương thức làm việc
https://careerbuilder.vn/vi/tim-viec-lam/sales-cum-office-admin.35BDE9E3.html,Sales Cum Office Admin,KNS INTERNATIONAL COMPANY LIMITED,Hà Nội,Hạn nộp: 01-12-2023,['02-11-2023'],"Y tế / Chăm sóc sức khỏe, Hành chính / Thư ký, Kế toán / Kiểm toán",Cạnh tranh,Nhân viên chính thức,Nhân viên,2 - 8 Năm,nan
https://careerbuilder.vn/vi/tim-viec-lam/product-owner.35BDE148.html,Product Owner,Elofun Entertainment,Hồ Chí Minh,Hạn nộp: 08-12-2023,['09-11-2023'],"Tiếp thị / Marketing, CNTT - Phần mềm, Giải trí",Trên10 Tr VND,Nhân viên chính thức,Nhân viên,nan,nan
https://careerbuilder.vn/vi/tim-viec-lam/senior-ai-engineer-b2b-product.35BF02C9.html,"Senior Ai Engineer (B2B Product)
                                             (Mới)",Công Ty Cổ Phần VNG,Hồ Chí Minh,Hạn nộp: 20-12-2023,['20-11-2023'],CNTT - Phần mềm,Cạnh tranh,Nhân viên chính thức,Nhân viên,3 - 10 Năm,nan
https://careerbuilder.vn/vi/tim-viec-lam/finance-planning-analysis.35BEF9C0.html,Finance Planning & Analysis,Wanek Furniture,Bình Dương,Hạn nộp: 10-12-2023,['14-11-2023'],"Kế toán / Kiểm toán, Tài chính / Đầu tư, Sản xuất / Vận hành sản xuất",Cạnh tranh,Nhân viên chính thức,Trưởng nhóm / Giám sát,5 - 10 Năm,nan
https://careerbuilder.vn/vi/tim-viec-lam/sales-operation-leader-for-gt-channel.35BDF738.html,Sales Operation Leader for GT channel,CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ SẢN XUẤT HƯƠNG THỦY,Hồ Chí Minh,Hạn nộp: 08-12-2023,['09-11-2023'],"Bán hàng / Kinh doanh, Thực phẩm & Đồ uống, Tiếp thị / Marketing",20 Tr - 30 Tr VND,Nhân viên chính thức,Trưởng nhóm / Giám sát,5 - 10 Năm,nan
https://careerbuilder.vn/vi/tim-viec-lam/hr-senior-analyst-in-charge-of-c-b.35BEDED4.html,HR Senior Analyst (in charge of C&B),Công Ty TNHH CJ Vina Agri,Long An,Hạn nộp: 30-11-2023,['14-11-2023'],Nhân sự,Cạnh tranh,Nhân viên chính thức,Nhân viên,3 - 7 Năm,nan
https://careerbuilder.vn/vi/tim-viec-lam/ha-noi-onsite-bim-developer-based-in-ha-noi-salary-1100.35BEE503.html,[HA NOI - ONSITE] BIM DEVELOPER BASED IN HA NOI - SALARY 1100$,Công Ty TNHH OS POWER Việt Nam,Hà Nội,Hạn nộp: 02-11-2024,['17-11-2023'],"Mỹ thuật / Nghệ thuật / Thiết kế, Nội ngoại thất",25 Tr - 30 Tr VND,Nhân viên chính thức,Nhân viên,2 - 5 Năm,nan
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-cvcc-cong-nghe-mo-hinh-khoi-du-lieu.35BDCD03.html,Chuyên viên/CVCC Công nghệ mô hình - Khối Dữ liệu,Ngân Hàng TMCP Quân Đội,Hà Nội,Hạn nộp: 14-12-2023,['15-11-2023'],"CNTT - Phần mềm, Ngân hàng",Cạnh tranh,Nhân viên chính thức,Nhân viên,Trên1 Năm,nan
https://careerbuilder.vn/vi/tim-viec-lam/research-development-senior-supervisor.35BE5871.html,Research & Development Senior Supervisor,Marico South East Asia Corporation,Hồ Chí Minh,Cơ hội ứng tuyển chỉ còn: 5 ngày,['16-11-2023'],Hàng gia dụng / Chăm sóc cá nhân,Cạnh tranh,Nhân viên chính thức,Nhân viên,3 - 4 Năm,nan
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-cvcc-cong-nghe-mo-hinh-ai-ml-ops-khoi-du-lieu.35BEE56B.html,Chuyên viên/CVCC Công nghệ mô hình (AI/ML Ops) - Khối Dữ liệu,Ngân Hàng TMCP Quân Đội,Hà Nội,Hạn nộp: 31-12-2023,['17-11-2023'],"CNTT - Phần mềm, Ngân hàng",Cạnh tranh,Nhân viên chính thức,Nhân viên,Trên1 Năm,nan
https://careerbuilder.vn/vi/tim-viec-lam/bim-coordinator-usd-1500-english.35BDB8F6.html,"BIM Coordinator (USD 1500, English)",Headhunter HRchannels Group,Hà Nội,Hạn nộp: 04-12-2023,['05-11-2023'],"Mỹ thuật / Nghệ thuật / Thiết kế, Kiến trúc, Xây dựng","1,000 - 2,000 USD",Nhân viên chính thức,Nhân viên,Trên3 Năm,nan
https://careerbuilder.vn/vi/tim-viec-lam/customer-success-specialist-quan-1.35BE190A.html,Customer Success Specialist (Quận 1),CÔNG TY TNHH MỘT THÀNH VIÊN LÝ GIA VIÊN,Hồ Chí Minh,Cơ hội ứng tuyển chỉ còn: 4 ngày,['07-11-2023'],"Bán lẻ / Bán sỉ, Bán hàng / Kinh doanh, Tiếp thị trực tuyến",10 Tr - 15 Tr VND,Nhân viên chính thức,Nhân viên,1 - 2 Năm,nan
