job_link,job_title,comp_name,location,expire_date,update_date,industry,staff_type,salary,exp,job_level
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-cvcc-phan-tich-khach-hang-doanh-nghiep-khoi-du-lieu.35BDEB61.html,Chuyên viên/CVCC Phân tích Khách hàng doanh nghiệp - Khối Dữ liệu,Ngân Hàng TMCP Quân Đội,Hà Nội,Cơ hội ứng tuyển chỉ còn: 3 ngày,['02-11-2023'],"Ngân hàng, Thống kê",Nhân viên chính thức,Cạnh tranh,Trên1 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-phan-tich-du-lieu-ke-toan-lam-viec-tai-aa-tay-ninh.35BE0337.html,Nhân viên phân tích dữ liệu kế toán - Làm việc tại AA Tây Ninh,AA Tây Ninh,Tây Ninh,Hạn nộp: 12-12-2023,['13-11-2023'],Kế toán / Kiểm toán,Nhân viên chính thức,Cạnh tranh,1 - 2 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-gia-khoa-hoc-du-lieu-ngan-hang-so-digital-data-science.35BEDD58.html,Chuyên gia Khoa học Dữ liệu Ngân hàng Số - Digital Data Science,Ngân Hàng TMCP Quốc Tế Việt Nam,Hồ Chí Minh,Cơ hội ứng tuyển chỉ còn: 1 ngày,['21-11-2023'],"Ngân hàng, CNTT - Phần mềm",Nhân viên chính thức,Cạnh tranh,5 - 7 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-chuyen-vien-cao-cap-an-toan-du-lieu-data-security.35BEDD28.html,Chuyên viên/Chuyên viên cao cấp an toàn dữ liệu (Data security),Ngân hàng TMCP Đại Chúng Việt Nam - PVcomBank,Hà Nội,Cơ hội ứng tuyển chỉ còn: 1 ngày,['21-11-2023'],"CNTT - Phần cứng / Mạng, CNTT - Phần mềm, Nhân sự",Nhân viên chính thức,Cạnh tranh,1 - 5 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-phan-tich-thi-truong-co-so-du-lieu-thaco-auto-mien-bac.35BEE1C9.html,Chuyên viên Phân tích thị trường & Cơ sở dữ liệu | Thaco Auto Miền Bắc,Công ty TNHH THACO AUTO (Văn phòng Miền Bắc),Hà Nội,Cơ hội ứng tuyển chỉ còn: 1 ngày,['23-11-2023'],"Cơ khí / Ô tô / Tự động hóa, Bán hàng / Kinh doanh, Ngành khác",Nhân viên chính thức,11 Tr - 16 Tr VND,1 - 5 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-chinh-chuyen-vien-cao-cap-quan-tri-du-lieu-data-governance.35BEECEE.html,Chuyên viên chính/Chuyên viên cao cấp quản trị dữ liệu (Data Governance),Ngân Hàng TMCP Tiên Phong (TPBank),Hà Nội,Hạn nộp: 14-12-2023,['28-11-2023'],"Tài chính / Đầu tư, Ngân hàng, CNTT - Phần mềm",Thời vụ/ Nghề tự do,Cạnh tranh,2 - 5 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-chinh-chuyen-vien-cao-cap-quan-tri-du-lieu-data-governance.35BDEA0B.html,Chuyên viên chính/Chuyên viên cao cấp quản trị dữ liệu (Data Governance),Ngân Hàng TMCP Tiên Phong (TPBank),Hà Nội,Cơ hội ứng tuyển chỉ còn: 3 ngày,['02-11-2023'],"Tài chính / Đầu tư, Ngân hàng, CNTT - Phần mềm",Thời vụ/ Nghề tự do,Cạnh tranh,2 - 5 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/khoi-cntt-chuyen-vien-ban-tich-hop-du-lieu-va-bao-cao.35BE1966.html,Khối CNTT - Chuyên Viên Ban Tích Hợp Dữ Liệu và Báo cáo,LPBank,Hồ Chí Minh,Hạn nộp: 24-12-2023,['25-11-2023'],"CNTT - Phần mềm, Ngân hàng",Nhân viên chính thức,Cạnh tranh,1 - 3 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/ky-su-du-lieu-data-engineer-ban-du-an.35BDED2A.html,Kỹ sư Dữ liệu (Data Engineer) - Ban Dự án,Ngân Hàng TMCP Quân Đội,Hà Nội,Cơ hội ứng tuyển chỉ còn: 4 ngày,['03-11-2023'],"CNTT - Phần mềm, CNTT - Phần cứng / Mạng, Ngân hàng",Nhân viên chính thức,Cạnh tranh,3 - 10 Năm,Nhân viên
https://careerbuilder.vn/vi/tim-viec-lam/ky-su-du-lieu-data-engineer-ban-du-an.35BDC9EB.html,Kỹ sư Dữ liệu (Data Engineer) - Ban Dự án,Ngân Hàng TMCP Quân Đội,Hà Nội,Hạn nộp: 12-12-2023,['13-11-2023'],"CNTT - Phần mềm, CNTT - Phần cứng / Mạng, Ngân hàng",Nhân viên chính thức,Cạnh tranh,3 - 10 Năm,Nhân viên
